Time, Low-pass and stretch (2st partial)
0.000000, 0.135993
0.001515, 0.652767
0.003029, 0.652767
0.004544, 0.625568
0.006059, 1.142342
0.007573, 0.489575
0.009088, 0.217589
0.010603, 0.271986
0.012118, 0.299185
0.013632, 0.190390
0.015147, 0.435178
0.016662, 0.462377
0.018176, 0.054397
0.019691, 0.571171
0.021206, 0.380781
0.022720, 0.244788
0.024235, 0.489575
0.025750, 0.707164
0.027264, 0.108794
0.028779, 0.299185
0.030294, 0.326383
0.031809, 0.843157
0.033323, 0.897554
0.034838, 1.060746
0.036353, 0.543972
0.037867, 0.407979
0.039382, 0.135993
0.040897, 1.033548
0.042411, 1.604719
0.043926, 0.761561
0.045441, 0.353582
0.046955, 0.734363
0.048470, 0.761561
0.049985, 1.169541
0.051500, 1.087945
0.053014, 0.625568
0.054529, 0.843157
0.056044, 0.843157
0.057558, 0.815959
0.059073, 0.543972
0.060588, 0.108794
0.062102, 0.625568
0.063617, 0.516774
0.065132, 1.033548
0.066646, 0.707164
0.068161, 0.598370
0.069676, 0.924753
0.071191, 0.761561
0.072705, 0.435178
0.074220, 0.271986
0.075735, 0.788760
0.077249, 0.788760
0.078764, 0.543972
0.080279, 1.115143
0.081793, 1.142342
0.083308, 0.380781
0.084823, 0.707164
0.086337, 0.788760
0.087852, 0.598370
0.089367, 0.652767
0.090882, 0.380781
0.092396, 0.407979
0.093911, 3.644615
0.095426, 7.914798
0.096940, 9.573915
0.098455, 9.601113
0.099970, 6.799655
0.101484, 8.757956
0.102999, 6.663662
0.104514, 6.500470
0.106028, 5.194936
0.107543, 1.414328
0.109058, 2.203088
0.110573, 1.006349
0.112087, 1.468725
0.113602, 2.475075
0.115117, 2.583869
0.116631, 1.414328
0.118146, 1.550321
0.119661, 2.638266
0.121175, 2.937451
0.122690, 1.278335
0.124205, 0.435178
0.125719, 0.163192
0.127234, 1.550321
0.128749, 1.359931
0.130264, 1.142342
0.131778, 0.271986
0.133293, 1.115143
0.134808, 1.251137
0.136322, 0.516774
0.137837, 0.571171
0.139352, 1.251137
0.140866, 0.652767
0.142381, 1.033548
0.143896, 1.332732
0.145410, 0.815959
0.146925, 0.734363
0.148440, 0.679965
0.149955, 0.489575
0.151469, 1.115143
0.152984, 1.278335
0.154499, 1.795109
0.156013, 1.169541
0.157528, 0.299185
0.159043, 0.598370
0.160557, 0.979150
0.162072, 1.659116
0.163587, 1.985499
0.165101, 2.502273
0.166616, 2.230287
0.168131, 0.843157
0.169646, 1.169541
0.171160, 1.441527
0.172675, 1.196739
0.174190, 1.631917
0.175704, 1.142342
0.177219, 0.489575
0.178734, 0.707164
0.180248, 1.686314
0.181763, 1.523123
0.183278, 1.523123
0.184792, 1.441527
0.186307, 1.115143
0.187822, 1.495924
0.189337, 1.169541
0.190851, 0.761561
0.192366, 0.353582
0.193881, 1.223938
0.195395, 2.175889
0.196910, 2.475075
0.198425, 2.665465
0.199939, 2.937451
0.201454, 3.726211
0.202969, 3.318232
0.204483, 3.943800
0.205998, 4.161389
0.207513, 4.650964
0.209028, 5.086142
0.210542, 6.010895
0.212057, 5.874902
0.213572, 6.799655
0.215086, 6.527669
0.216601, 8.241182
0.218116, 9.655510
0.219630, 10.852249
0.221145, 10.226681
0.222660, 11.994592
0.224174, 13.354523
0.225689, 15.720802
0.227204, 14.986440
0.228719, 16.509562
0.230233, 16.183180
0.231748, 17.815096
0.233263, 17.379919
0.234777, 20.045383
0.236292, 19.691801
0.237807, 22.112478
0.239321, 21.378115
0.240836, 23.853189
0.242351, 22.928436
0.243866, 24.233971
0.245380, 22.819643
0.246895, 26.246668
0.248410, 25.621099
0.249924, 28.014578
0.251439, 27.334614
0.252954, 30.707243
0.254468, 30.489653
0.255983, 32.991928
0.257498, 33.209515
0.259012, 36.609344
0.260527, 35.439800
0.262042, 36.935726
0.263557, 36.364555
0.265071, 38.214062
0.266586, 37.806084
0.268101, 41.178711
0.269615, 42.701832
0.271130, 47.597584
0.272645, 50.426243
0.274159, 55.158802
0.275674, 57.715473
0.277189, 60.462532
0.278703, 61.849663
0.280218, 65.195091
0.281733, 65.983856
0.283248, 68.458923
0.284762, 69.410881
0.286277, 71.940353
0.287792, 71.668365
0.289306, 73.327477
0.290821, 73.871452
0.292336, 76.564117
0.293850, 76.917694
0.295365, 79.202385
0.296880, 79.610359
0.298394, 79.855148
0.299909, 78.277626
0.301424, 79.447166
0.302939, 79.501564
0.304453, 80.562309
0.305968, 80.127136
0.307483, 82.439018
0.308997, 84.070938
0.310512, 85.022888
0.312027, 85.838844
0.313541, 87.334770
0.315056, 88.531509
0.316571, 88.830696
0.318085, 89.129875
0.319600, 92.828888
0.321115, 95.739143
0.322630, 97.425461
0.324144, 97.452660
0.325659, 98.676598
0.327174, 99.274963
0.328688, 98.513405
0.330203, 97.643044
0.331718, 97.343864
0.333232, 96.663895
0.334747, 96.364708
0.336262, 96.500702
0.337776, 96.908684
0.339291, 97.289467
0.340806, 98.703789
0.342321, 99.410957
0.343835, 102.348404
0.345350, 105.149864
0.346865, 109.148064
0.348379, 111.922325
0.349894, 112.575089
0.351409, 111.813530
0.352923, 112.058311
0.354438, 112.248703
0.355953, 112.466293
0.357467, 111.351151
0.358982, 109.664833
0.360497, 106.754585
0.362012, 103.681137
0.363526, 102.185219
0.365041, 104.197914
0.366556, 104.170715
0.368070, 102.538795
0.369585, 101.178864
0.371100, 99.356560
0.372614, 96.908684
0.374129, 95.494354
0.375644, 94.596802
0.377158, 95.766342
0.378673, 98.513405
0.380188, 104.252312
0.381703, 109.800827
0.383217, 110.208809
0.384732, 107.842529
0.386247, 104.823479
0.387761, 101.586845
0.389276, 99.465355
0.390791, 98.595001
0.392305, 99.818939
0.393820, 99.927727
0.395335, 100.118118
0.396849, 100.199715
0.398364, 100.934082
0.399879, 102.538795
0.401394, 104.687492
0.402908, 104.905075
0.404423, 104.714691
0.405938, 103.137169
0.407452, 101.190414
0.408967, 101.172501
0.410482, 101.169846
0.411996, 101.188164
0.413511, 101.211334
0.415026, 101.239517
0.416540, 101.265205
0.418055, 101.290207
0.419570, 101.314621
0.421085, 101.333191
0.422599, 101.342781
0.424114, 101.331207
0.425629, 101.290787
0.427143, 101.234009
0.428658, 101.154068
0.430173, 101.065247
0.431687, 100.971161
0.433202, 100.872536
0.434717, 100.777786
0.436231, 100.687134
0.437746, 100.620323
0.439261, 100.573380
0.440776, 100.544647
0.442290, 100.552353
0.443805, 100.570053
0.445320, 100.599258
0.446834, 100.628922
0.448349, 100.655342
0.449864, 100.676544
0.451378, 100.692177
0.452893, 100.706039
0.454408, 100.718185
0.455922, 100.730934
0.457437, 100.742226
0.458952, 100.748596
0.460467, 100.738571
0.461981, 100.716103
0.463496, 100.666855
0.465011, 100.589615
0.466525, 100.491074
0.468040, 100.345100
0.469555, 100.173653
0.471069, 99.982239
0.472584, 99.761383
0.474099, 99.526436
0.475613, 99.277908
0.477128, 99.006081
0.478643, 98.728134
0.480158, 98.443146
0.481672, 98.155518
0.483187, 97.867531
0.484702, 97.579391
0.486216, 97.294434
0.487731, 97.010956
0.489246, 96.729469
0.490760, 96.446213
0.492275, 96.163193
0.493790, 95.882668
0.495304, 95.609291
0.496819, 95.340050
0.498334, 95.076263
0.499849, 94.817574
0.501363, 94.563690
0.502878, 94.326691
0.504393, 94.099854
0.505907, 93.881096
0.507422, 93.670860
0.508937, 93.460907
0.510451, 93.251221
0.511966, 93.032272
0.513481, 92.809036
0.514995, 92.580566
0.516510, 92.355919
0.518025, 92.137016
0.519540, 91.927551
0.521054, 91.733109
0.522569, 91.546524
0.524084, 91.371323
0.525598, 91.201355
0.527113, 91.031769
0.528628, 90.857735
0.530142, 90.672287
0.531657, 90.479095
0.533172, 90.271759
0.534686, 90.059639
0.536201, 89.844833
0.537716, 89.632538
0.539231, 89.431084
0.540745, 89.238823
0.542260, 89.069984
0.543775, 88.903412
0.545289, 88.739265
0.546804, 88.568024
0.548319, 88.395645
0.549833, 88.222198
0.551348, 88.049561
0.552863, 87.875877
0.554377, 87.700020
0.555892, 87.521202
0.557407, 87.341064
0.558922, 87.159271
0.560436, 86.977974
0.561951, 86.797707
0.563466, 86.620567
0.564980, 86.446899
0.566495, 86.274963
0.568010, 86.103386
0.569524, 85.927872
0.571039, 85.749580
0.572554, 85.568657
0.574068, 85.390945
0.575583, 85.216026
0.577098, 85.054962
0.578613, 84.902206
0.580127, 84.758804
0.581642, 84.625168
0.583157, 84.487694
0.584671, 84.343567
0.586186, 84.168152
0.587701, 83.974854
0.589215, 83.755417
0.590730, 83.521828
0.592245, 83.286446
0.593759, 83.055847
0.595274, 82.833252
0.596789, 82.614044
0.598304, 82.396614
0.599818, 82.181732
0.601333, 81.970131
0.602848, 81.771866
0.604362, 81.583435
0.605877, 81.401932
0.607392, 81.224525
0.608906, 81.047043
0.610421, 80.869492
0.611936, 80.699295
0.613450, 80.534241
0.614965, 80.375191
0.616480, 80.224777
0.617995, 80.081688
0.619509, 79.948936
0.621024, 79.850075
0.622539, 79.775406
0.624053, 79.739670
0.625568, 79.743332
0.627083, 79.764694
0.628597, 79.806908
0.630112, 79.855484
0.631627, 79.905449
0.633142, 79.950607
0.634656, 79.989746
0.636171, 80.025429
0.637686, 80.059166
0.639200, 80.090858
0.640715, 80.120781
0.642230, 80.144684
0.643744, 80.170357
0.645259, 80.197708
0.646774, 80.232132
0.648288, 80.264351
0.649803, 80.293655
0.651318, 80.305527
0.652833, 80.305786
0.654347, 80.289719
0.655862, 80.251221
0.657377, 80.203812
0.658891, 80.145767
0.660406, 80.089020
0.661921, 80.034996
0.663435, 79.988396
0.664950, 79.945343
0.666465, 79.903076
0.667979, 79.857521
0.669494, 79.812271
0.671009, 79.768433
0.672523, 79.735130
0.674038, 79.707306
0.675553, 79.683701
0.677068, 79.662292
0.678582, 79.638992
0.680097, 79.613808
0.681612, 79.577354
0.683126, 79.534988
0.684641, 79.485374
0.686156, 79.426270
0.687670, 79.360825
0.689185, 79.286156
0.690700, 79.199768
0.692214, 79.109360
0.693729, 79.015091
0.695244, 78.923080
0.696759, 78.834450
0.698273, 78.754868
0.699788, 78.692261
0.701303, 78.643494
0.702817, 78.628181
0.704332, 78.643021
0.705847, 78.679565
0.707361, 78.752914
0.708876, 78.838989
0.710391, 78.935417
0.711905, 79.043579
0.713420, 79.159409
0.714935, 79.283218
0.716450, 79.426628
0.717964, 79.573593
0.719479, 79.724205
0.720994, 79.858765
0.722508, 79.983330
0.724023, 80.093315
0.725538, 80.194977
0.727052, 80.293922
0.728567, 80.390694
0.730082, 80.480057
0.731597, 80.562691
0.733111, 80.629860
0.734626, 80.686493
0.736141, 80.737183
0.737655, 80.781982
0.739170, 80.823776
0.740685, 80.863480
0.742199, 80.900955
0.743714, 80.934425
0.745229, 80.964355
0.746743, 80.976486
0.748258, 80.977760
0.749773, 80.967140
0.751288, 80.939560
0.752802, 80.908783
0.754317, 80.874855
0.755832, 80.834839
0.757346, 80.788490
0.758861, 80.731552
0.760376, 80.662643
0.761890, 80.588356
0.763405, 80.507385
0.764920, 80.430206
0.766434, 80.357025
0.767949, 80.294167
0.769464, 80.236824
0.770979, 80.184433
0.772493, 80.146271
0.774008, 80.124825
0.775523, 80.116127
0.777037, 80.130737
0.778552, 80.153244
0.780067, 80.182693
0.781581, 80.214638
0.783096, 80.247772
0.784611, 80.282272
0.786125, 80.325905
0.787640, 80.372734
0.789155, 80.423386
0.790670, 80.477905
0.792184, 80.536026
0.793699, 80.600266
0.795214, 80.672897
0.796728, 80.751076
0.798243, 80.838791
0.799758, 80.938950
0.801272, 81.045120
0.802787, 81.156860
0.804302, 81.259521
0.805816, 81.354607
0.807331, 81.429459
0.808846, 81.489754
0.810360, 81.538910
0.811875, 81.571152
0.813390, 81.601181
0.814905, 81.629181
0.816419, 81.657822
0.817934, 81.689041
0.819449, 81.723396
0.820963, 81.770279
0.822478, 81.822006
0.823993, 81.879677
0.825507, 81.932037
0.827022, 81.977371
0.828537, 82.009521
0.830052, 82.028160
0.831566, 82.041069
0.833081, 82.048073
0.834596, 82.052780
0.836110, 82.055870
0.837625, 82.055740
0.839140, 82.053040
0.840654, 82.049194
0.842169, 82.047646
0.843684, 82.050400
0.845198, 82.056580
0.846713, 82.068588
0.848228, 82.085594
0.849743, 82.107430
0.851257, 82.146515
0.852772, 82.193405
0.854287, 82.249626
0.855801, 82.312088
0.857316, 82.374542
0.858831, 82.435898
0.860345, 82.488998
0.861860, 82.535789
0.863375, 82.571785
0.864889, 82.595932
0.866404, 82.612503
0.867919, 82.615952
0.869434, 82.608101
0.870948, 82.595398
0.872463, 82.582550
0.873978, 82.581291
0.875492, 82.588219
0.877007, 82.608604
