Time, Low-pass (2st partial)
0.880036, 90.362289
0.881551, 90.355896
0.883066, 90.361412
0.884580, 90.422127
0.886095, 90.538361
0.887610, 90.677254
0.889125, 90.789497
0.890639, 90.836098
0.892154, 90.825119
0.893669, 90.791306
0.895183, 90.750328
0.896698, 90.705299
0.898213, 90.653397
0.899727, 90.594406
0.901242, 90.545319
0.902757, 90.502274
0.904271, 90.437057
0.905786, 90.348785
0.907301, 90.265472
0.908816, 90.207527
0.910330, 90.185844
0.911845, 90.207672
0.913360, 90.253876
0.914874, 90.296516
0.916389, 90.337166
0.917904, 90.394356
0.919418, 90.479950
0.920933, 90.594971
0.922448, 90.737877
0.923962, 90.913277
0.925477, 91.121666
0.926992, 91.356010
0.928507, 91.601860
0.930021, 91.830582
0.931536, 92.023483
0.933051, 92.192749
0.934565, 92.350342
0.936080, 92.482590
0.937595, 92.573494
0.939109, 92.633469
0.940624, 92.692772
0.942139, 92.767609
0.943653, 92.849152
0.945168, 92.918434
0.946683, 92.953117
0.948198, 92.947304
0.949712, 92.920883
0.951227, 92.883118
0.952742, 92.818230
0.954256, 92.721603
0.955771, 92.612511
0.957286, 92.493935
0.958800, 92.364540
0.960315, 92.253304
0.961830, 92.168945
0.963344, 92.089493
0.964859, 92.017868
0.966374, 91.979736
0.967889, 91.980301
0.969403, 92.007805
0.970918, 92.073357
0.972433, 92.186485
0.973947, 92.321289
0.975462, 92.459229
0.976977, 92.601768
0.978491, 92.747086
0.980006, 92.897911
0.981521, 93.057281
0.983035, 93.226891
0.984550, 93.414429
0.986065, 93.618790
0.987580, 93.829391
0.989094, 94.036873
0.990609, 94.230186
0.992124, 94.407600
0.993638, 94.590446
0.995153, 94.799088
0.996668, 95.030907
0.998182, 95.280869
0.999697, 95.546013
1.001212, 95.810814
1.002726, 96.065781
1.004241, 96.306358
1.005756, 96.511955
1.007271, 96.672997
1.008785, 96.808861
1.010300, 96.940331
1.011815, 97.070839
1.013329, 97.200630
1.014844, 97.330757
1.016359, 97.446182
1.017873, 97.538589
1.019388, 97.616005
1.020903, 97.680664
1.022417, 97.751617
1.023932, 97.859650
1.025447, 98.007942
1.026962, 98.190384
1.028476, 98.405342
1.029991, 98.629601
1.031506, 98.833847
1.033020, 99.014961
1.034535, 99.170555
1.036050, 99.295738
1.037564, 99.415787
1.039079, 99.557854
1.040594, 99.713928
1.042109, 99.863419
1.043623, 100.003998
1.045138, 100.141846
1.046653, 100.282784
1.048167, 100.437164
1.049682, 100.601181
1.051197, 100.760094
1.052711, 100.911339
1.054226, 101.056992
1.055741, 101.194046
1.057255, 101.317200
1.058770, 101.425186
1.060285, 101.535271
1.061800, 101.668930
1.063314, 101.815468
1.064829, 101.951988
1.066344, 102.077400
1.067858, 102.193275
1.069373, 102.287872
1.070888, 102.351006
1.072402, 102.384506
1.073917, 102.394997
1.075432, 102.403801
1.076946, 102.446579
1.078461, 102.527031
1.079976, 102.619881
1.081491, 102.719818
1.083005, 102.828468
1.084520, 102.929718
1.086035, 103.012825
1.087549, 103.079597
1.089064, 103.137245
1.090579, 103.194382
1.092093, 103.246727
1.093608, 103.276215
1.095123, 103.271072
1.096637, 103.248322
1.098152, 103.243652
1.099667, 103.280014
1.101182, 103.361786
1.102696, 103.473969
1.104211, 103.580322
1.105726, 103.661377
1.107240, 103.727180
1.108755, 103.778908
1.110270, 103.802689
1.111784, 103.786049
1.113299, 103.723312
1.114814, 103.629486
1.116328, 103.538300
1.117843, 103.471794
1.119358, 103.434296
1.120872, 103.420448
1.122387, 103.415398
1.123902, 103.406151
1.125417, 103.387238
1.126931, 103.353142
1.128446, 103.300545
1.129961, 103.252541
1.131475, 103.242020
1.132990, 103.258163
1.134505, 103.267555
1.136019, 103.259666
1.137534, 103.237465
1.139049, 103.199089
1.140563, 103.140556
1.142078, 103.071907
1.143593, 103.018890
1.145108, 103.002510
1.146622, 103.028046
1.148137, 103.086349
1.149652, 103.158348
1.151166, 103.224838
1.152681, 103.284187
1.154196, 103.349922
1.155710, 103.421371
1.157225, 103.493103
1.158740, 103.573563
1.160254, 103.653465
1.161769, 103.704941
1.163284, 103.719574
1.164799, 103.712212
1.166313, 103.702087
1.167828, 103.696175
1.169343, 103.693260
1.170857, 103.683914
1.172372, 103.660622
1.173887, 103.638535
1.175401, 103.624451
1.176916, 103.607605
1.178431, 103.593124
1.179945, 103.595551
1.181460, 103.613777
1.182975, 103.624748
1.184490, 103.595062
1.186004, 103.514404
1.187519, 103.406898
1.189034, 103.303307
1.190548, 103.209450
1.192063, 103.107132
1.193578, 102.985741
1.195092, 102.848595
1.196607, 102.706841
1.198122, 102.574097
1.199636, 102.455864
1.201151, 102.352486
1.202666, 102.261620
1.204181, 102.191269
1.205695, 102.153351
1.207210, 102.125786
1.208725, 102.082146
1.210239, 102.028267
1.211754, 101.970329
1.213269, 101.915695
1.214783, 101.882568
1.216298, 101.875694
1.217813, 101.891479
1.219327, 101.937538
1.220842, 102.020401
1.222357, 102.129501
1.223872, 102.245995
1.225386, 102.353447
1.226901, 102.443001
1.228416, 102.515999
1.229930, 102.572823
1.231445, 102.608337
1.232960, 102.629822
1.234474, 102.655334
1.235989, 102.692337
1.237504, 102.745590
1.239019, 102.821762
1.240533, 102.917114
1.242048, 103.019630
1.243563, 103.116013
1.245077, 103.197098
1.246592, 103.259811
1.248107, 103.306885
1.249621, 103.343201
1.251136, 103.373817
1.252651, 103.405998
1.254165, 103.436005
1.255680, 103.453133
1.257195, 103.473549
1.258710, 103.517097
1.260224, 103.573555
1.261739, 103.631714
1.263254, 103.683449
1.264768, 103.714058
1.266283, 103.727142
1.267798, 103.751579
1.269312, 103.813530
1.270827, 103.914795
1.272342, 104.042442
1.273856, 104.185043
1.275371, 104.333191
1.276886, 104.472458
1.278401, 104.588310
1.279915, 104.674782
1.281430, 104.737686
1.282945, 104.796974
1.284459, 104.868904
1.285974, 104.951065
1.287489, 105.031013
1.289003, 105.103355
1.290518, 105.174240
1.292033, 105.243217
1.293547, 105.299812
1.295062, 105.336929
1.296577, 105.361275
1.298092, 105.393425
1.299606, 105.450928
1.301121, 105.530121
1.302636, 105.606697
1.304150, 105.657227
1.305665, 105.673462
1.307180, 105.658310
1.308694, 105.617043
1.310209, 105.551033
1.311724, 105.461746
1.313239, 105.368301
1.314753, 105.297966
1.316268, 105.259941
1.317783, 105.261307
1.319297, 105.305794
1.320812, 105.371147
1.322327, 105.431923
1.323841, 105.481834
1.325356, 105.522911
1.326871, 105.555664
1.328385, 105.588776
1.329900, 105.645157
1.331415, 105.740364
1.332929, 105.867615
1.334444, 106.012474
1.335959, 106.165970
1.337474, 106.324608
1.338988, 106.477661
1.340503, 106.613182
1.342018, 106.746521
1.343532, 106.897476
1.345047, 107.061256
1.346562, 107.224556
1.348076, 107.375603
1.349591, 107.510773
1.351106, 107.642372
1.352620, 107.782600
1.354135, 107.923454
1.355650, 108.039940
1.357165, 108.113037
1.358679, 108.138626
1.360194, 108.107796
1.361709, 108.018967
1.363223, 107.897636
1.364738, 107.762650
1.366253, 107.611565
1.367767, 107.445122
1.369282, 107.274803
1.370797, 107.109238
1.372311, 106.955498
1.373826, 106.830406
1.375341, 106.744797
1.376855, 106.699974
1.378370, 106.699516
1.379885, 106.736305
1.381400, 106.785660
1.382914, 106.828499
1.384429, 106.869118
1.385944, 106.921181
1.387458, 106.995842
1.388973, 107.099648
1.390488, 107.224594
1.392002, 107.350655
